names,authors,descrips,paragraphs
YUNG's Better Witch Huts,YUNGNICKYOUNG,"Server, Adventure, Decoration, World Generation, Fabric, Forge",Adds overhauled witch huts to swamps!
Tectonic,Apollo,"Adventure, World Generation, Data Pack, Fabric, Forge, Quilt","Using the powerful worldgen tools from Caves and Cliffs, Tectonic completely rocks world generation with mountain ranges, underground rivers and more!"
Comforts,TheIllusiveC4,"Client and server, Adventure, Decoration, Fabric, Forge, NeoForge, Quilt","Adds sleeping bags and hammocks for, respectively, portability and turning day to night, without setting new spawns. Comes in 16 different colors!"
Advancements Debug,Technici4n,"Client or server, Optimization, Fabric","This little mod rewrites one function of the advancements logic to make advancements checking faster, and use less recursion. It should prevent StackOverflowErrors with advancements."
Durability Viewer,Giselbaer,"Client, Equipment, Utility, Fabric, Forge",Armor and Tool durability HUD
Pixelmon,Pixelmon,"Client, Adventure, Decoration, World Generation, Forge","Pixelmon adds many aspects of the PokŽmon into Minecraft, including the PokŽmon themselves, battling, trading, and breeding. Pixelmon also includes an assortment of new items, including prominent items like PokŽ Balls and TMs, new resources like bauxite ore and Apricorns, and new decorative blocks like chairs and clocks."
Ad Astra,AlexNijjar,"Client and server, Adventure, Technology, World Generation, Fabric, Forge","Live long and prosper, Ad Astra!"
Decocraft,RazzleberryFox,"Client and server, Decoration, Forge",Decocraft adds in over 3000 decorations for your Minecraft World. This mod will definitely give you a lot more variety when decorating your builds. Many of the items are actually functional as well!
Player Health Indicators,Gaider10,"Client, Utility, Fabric",Displays a health bar above players
MCA Reborn,Luke100000,"Client and server, Adventure, Game Mechanics, Mobs, Fabric, Forge, Quilt","Minecraft Comes Alive (MCA) is a Minecraft mod that greatly extends the functionality of villagers by adding interaction, marriage, children genetics, and more!"
YUNG's Extras,YUNGNICKYOUNG,"Server, Adventure, Decoration, World Generation, Fabric, Forge","Extra structures, features, and vanilla+ content suitable for any modpack!"
EMIffect,Flamarine,"Client, Magic, Utility, Fabric, Forge, NeoForge, Quilt",EMI addon that appends status effects in EMI and provides information about each status effect.
Crafting Tweaks,BlayTheNinth,"Client or server, Management, Utility, Fabric, Forge","Allows you to rotate, balance or clear the crafting matrix by the press of a button, in any (supported) crafting window."
Handcrafted,Terrarium,"Client and server, Decoration, Utility, Fabric, Forge, NeoForge",Make your house a home!
Create: Steam 'n' Rails,IThundxr,"Client and server, Technology, Transportation, Utility, Fabric, Forge, NeoForge, Quilt",Adding depth to Create's rail network & steam system
Immersive Aircraft,Luke100000,"Client and server, Adventure, Technology, Transportation, Fabric, Forge","A bunch of rustic aircraft to travel, transport, and explore!"
Dungeons and Taverns,NovaWostra,"Adventure, World Generation, Data Pack, Fabric, Forge","A Structure Datapack adding dungeons, taverns and other structures to find while you explore the world."
YUNG's Bridges,YUNGNICKYOUNG,"Server, Adventure, Decoration, World Generation, Fabric, Forge",Adds beautiful naturally generated bridges throughout the world!
Detail Armor Bar,RedLime,"Client, Equipment, Utility, Fabric, Forge, Quilt",More detail about armor in Armor bar!
I18nUpdateMod,xfl03,"Client, Utility, Fabric, Forge, Quilt","Brand new update mod for ""Minecraft Mod Language Package"". ???????????????????"
Carry On,Tschipp,"Client and server, Game Mechanics, Storage, Transportation, Fabric, Forge",Carry On allows you to pick up Tile Entities and Mobs and carry them around!
Mixmetica,Microcontrollers,"Client, Cursed, Social, Forge",A simple mixin mod that adds Arcmetica support directly into OptiFine. No more need for DNS rules.
Wynntils,DevScyu,"Client, Social, Utility, Fabric, Forge, Quilt","Wynntils is a Wynncraft mod that seeks to enhance the user's gameplay with a variety of customizable options and additions, allowing the user to change everything in the way they want and enhancing the overall Wynncraft gameplay!"
Immersive Portals,qouteall,"Client and server, Game Mechanics, Library, Utility, Fabric",See through portals and teleport seamlessly
Mixin Conflict Helper,isxander,"Client or server, Utility, Fabric, Quilt",User-friendly errors for Mixin conflicts.
Auudio,keksuccino,"Client, Library, Fabric, Forge",Library mod to easily play background sound in menus and worlds.
Areas,Serilum,"Client, Decoration, Game Mechanics, Library, Fabric, Forge, NeoForge, Quilt","?? Create custom named regions/towns/zones with a radius using signs, with join/leave messages via GUI."
Rubidium Extra,dima_dencep,"Client, Cursed, Utility, Forge, NeoForge",Port of Sodium Extra to work with Embeddium/Rubidium on FML
Raised,yurisuika,"Client, Utility, Fabric, Forge",Raises the hotbar so the selector is not cut off!
Ok Zoomer,Ennui,"Client, Utility, Fabric, Quilt",Adds a highly-configurable zoom key for Quilt. The zoom is yours!
Roughly Searchable,stuin,"Client, Storage, Utility, Fabric",Highlights items that match the current search in REI
BedrockWaters,2Retr0,"Client, World Generation, Fabric, Quilt",Ports over various biome water properties from Bedrock Edition!
kennytvs-epic-force-close-loading-screen-mod-for-fabric,kennytv,"Client, Cursed, Optimization, Fabric",Instantly closes the loading terrain screen on world changing and drastically reduces the resource pack loading screen duration
Dawn API,Hugman,"Client and server, Library, Fabric, Quilt",API that facilitates the creation of features.
Audio Extension for FancyMenu,keksuccino,"Client, Utility, Fabric, Forge",Add audio elements to FancyMenu layouts.
Tom's Simple Storage Mod,tom5454,"Client and server, Storage, Fabric, Forge, NeoForge, Quilt",Simple vanilla style storage mod
Auto Third Person,quat,"Client, Utility, Fabric, Forge, Quilt",Automatically put yourself in third-person mode when you perform certain actions. Clientside only! Configurable!
Logical Zoom,LogicalGeekBoy,"Client, Utility, Fabric",A simple zoom key for Minecraft
Nvidium,cortex,"Client, Optimization, Fabric, Quilt",Fast nvidia only rendering engine for sodium
Hydrogen,jellysquid3,"Client or server, Optimization, Fabric",Reduces the memory usage of the game in more modded scenarios
Freecam (Modrinth Edition),hashalite,"Client, Utility, Fabric, Forge",A highly customizable freecam mod.
Friends&Foes (Fabric),faboslav,"Client and server, Adventure, Mobs, World Generation, Fabric, Quilt","Adds outvoted and forgotten mobs from the mob votes in a believable vanilla plus style. (Copper Golem, Glare, Moobloom, Iceologer, Barnacle, Wildfire, Illusioner, Rascal, Tuff Golem)"
Better Advancements,way2muchnoise,"Client, Utility, Fabric, Forge",Better Advancements tries to improve the UI and UX for the advancements system in minecraft 1.12+ in a modded environment
No Resource Pack Warnings,Space Walker,"Client, Utility, Fabric, Quilt",Disable warnings for outdated resource/data packs
Simply Swords,Sweenus,"Client and server, Equipment, Magic, Fabric, Forge","Adds Spears, Glaives, Chakrams, Katanas, Greathammer/axes, Rapiers, and many more weapons!"
Better Enchanted Books,Bernasss12,"Client, Utility, Fabric",Makes life easier for enchanters.
ItemSwapper,tr7zw,"Client, Game Mechanics, Management, Storage, Bukkit, Fabric, Paper, Purpur, Spigot",Inventory update concept for hotswapping items.
Elytra Slot,TheIllusiveC4,"Client and server, Equipment, Transportation, Fabric, Forge, Quilt",Adds accessory support to the elytra so you can fly and wear chest armor at the same time. Formerly known as Curious Elytra and Elytra Trinket.
No Telemetry,kb1000,"Client, Fabric, Forge, Quilt",Disable the telemetry introduced in 21w38a
LAN World Plug-n-Play (mcwifipnp),satxm,"Client, Fabric, Forge, NeoForge, Quilt",LAN World Plug-n-Play (mcwifipnp)
Do a Barrel Roll,enjarai,"Client, Equipment, Transportation, Fabric, Forge",Microsoft flight simulator for Minecraft elytras.
Interactic,glisco,"Client, Utility, Fabric, Quilt",Refined item interactions
Immersive Armors,Luke100000,"Client and server, Equipment, Fabric, Forge",A lot of unique and vanilla-faithful armor sets.
CompleteConfig,Lortseam,"Client or server, Library, Fabric",Configuration Library for Fabric Mods
Advanced Tooltips,NebelNidas,"Client, Decoration, Utility, Fabric",More and better tooltips on items! Fabric port of the Inspecio mod.
Traveler's Titles,YUNGNICKYOUNG,"Client, Adventure, Decoration, Utility, Fabric, Forge","Epic, RPG-like titles when entering biomes & dimensions!"
Status Effect Bars,A5b84,"Client, Decoration, Utility, Fabric, Quilt",Adds customizable bars to the status effects overlay to show the remaining duration of effects.
Farmer's Delight,vectorwing,"Client and server, Decoration, Equipment, Food, Forge",A cozy expansion to farming and cooking!
FPS - Display,Grayray75,"Client, Utility, Fabric, Quilt",A simple Fabric mod that displays the current FPS on screen.
Dark Loading Screen,A5b84,"Client, Decoration, Utility, Fabric, Quilt",Makes the loading screen darker.
Smooth Swapping,Schauweg,"Client, Decoration, Fabric, Forge, Quilt",Moves items smoothly in inventories
Distinguished Potions,Fuzs,"Client, Utility, Fabric, Forge",Trouble telling your potions apart? Time to give you a helping hand with that.
Atum,voidxwalker,"Client, World Generation, Fabric",Mod to automatically reset random and set seeds
Create Crafts & Additions,mrh0,"Client and server, Storage, Technology, Transportation, Fabric, Forge",Create Crafts & Additions extends Create and acts as a bridge between electricity and kinetic energy
Visual Overhaul,Motschen,"Client or server, Decoration, Utility, Fabric, Forge, Quilt",Slight tweaks to revamp the visual aspect of vanilla.
Expanded Delight,ianm1647,"Client and server, Food, World Generation, Fabric, Quilt",An addon mod for Farmer's Delight Fabric that adds many more crops and functionality to the base mod
Easy Magic,Fuzs,"Client and server, Utility, Fabric, Forge","Enchanting tables as they always should have been! Items stay after closing, and easy re-rolls."
Emoji Type,cyborgcabbage,"Client, Decoration, Social, Utility, Fabric, Forge, Quilt",Allows you to easily type emoji and emoticons in game.
Botarium,CodexAdrian,"Client and server, Library, Fabric, Forge","A crossplatform API for devs that makes transfer and storage of items, fluids and energy easier, as well as some other helpful things"
Chunks fade in,kerudion,"Client, Utility, Fabric",A simple mod that adds fade-in animation for chunks!
Another Furniture,crispytwig,"Client and server, Decoration, Utility, Fabric, Forge",Vanilla-styled Minecraft furniture mod.
Boosted Brightness,adamviola,"Client, Utility, Fabric",Set your brightness beyond default levels.
Merchant Markers,Grend,"Client, Adventure, Game Mechanics, Utility, Fabric, Forge",Adds custom markers above villagers based on their professions!
Fabric Waystones,LordDeatHunter,"Client and server, Adventure, Magic, Transportation, Fabric",A better way of transport
CleanCut,Ametsuchiru,"Client, Equipment, Game Mechanics, Mobs, Fabric",Fight enemies back through grass and other similar obstructions!
You're in Grave Danger,b1n-ry,"Client and server, Adventure, Storage, Utility, Fabric",A mod focused around death. Will add graves to minecraft
SkyGuide,DeDiamondPro,"Client, Adventure, Minigame, Forge",A mod that aims to improve the Hypixel SkyBlock experience in a vanilla-like way.
Accelerated Decay,ErrorMikey,"Client and server, Game Mechanics, Fabric, Forge, NeoForge",Speeds up the leaf decaying process
Cristel Lib,Cristelknight,"Server, Library, World Generation, Fabric, Forge, NeoForge, Quilt",A Library mod for easy structure config and runtime datapacks.
Drippy Loading Screen,keksuccino,"Client, Utility, Fabric, Forge",Customize Minecraft's loading (splash) screen like never before!
Village Spawn Point,Serilum,"Server, Adventure, Game Mechanics, World Generation, Fabric, Forge, NeoForge, Quilt",?? Sets the spawn point in a new world to the center of a village.
Terra,dfsek,"Server, Adventure, Utility, World Generation, Bukkit, Fabric, Folia, Forge, Paper, Purpur, Quilt, Spigot",World generation modding/configuration platform
Client Tweaks,BlayTheNinth,"Client, Game Mechanics, Utility, Fabric, Forge","There, I fixed Minecraft for you. Various optional tweaks to improve Minecraft Quality of Life."
Snow Under Trees [Fabric],mineblock11,"Server, Decoration, World Generation, Fabric","Adds snow under trees in snowy biomes, making the biomes more immersive."
Spawn Animations,Tschipcraft,"Adventure, Game Mechanics, Mobs, Data Pack, Fabric, Forge, Quilt",Hostile mobs dig out of the ground or poof into existence when they spawn!
